TITLE = "Equilibrium concentrations vs Temperature"
VARIABLES = "T", "N2", "O2", "NO", "N", "O"
ZONE T="Mass Fractions", I=194, F=POINT
1.77000000e+04 6.42194750e-05 4.74721813e-07 8.35624002e-06 7.57118952e-01 2.42807997e-01
1.78000000e+04 6.19494534e-05 4.63512297e-07 8.09363424e-06 7.57121345e-01 2.42808149e-01
1.79000000e+04 5.97897815e-05 4.52653700e-07 7.84125938e-06 7.57123622e-01 2.42808294e-01
1.80000000e+04 5.77339890e-05 4.42132255e-07 7.59863152e-06 7.57125791e-01 2.42808434e-01
1.81000000e+04 5.57760429e-05 4.31934843e-07 7.36529356e-06 7.57127858e-01 2.42808569e-01
1.82000000e+04 5.39103145e-05 4.22048954e-07 7.14081352e-06 7.57129829e-01 2.42808698e-01
1.83000000e+04 5.21315488e-05 4.12462662e-07 6.92478298e-06 7.57131708e-01 2.42808823e-01
1.84000000e+04 5.04348370e-05 4.03164583e-07 6.71681559e-06 7.57133502e-01 2.42808943e-01
1.85000000e+04 4.88155910e-05 3.94143857e-07 6.51654575e-06 7.57135215e-01 2.42809059e-01
1.86000000e+04 4.72695196e-05 3.85390110e-07 6.32362731e-06 7.57136851e-01 2.42809170e-01
1.87000000e+04 4.57926072e-05 3.76893438e-07 6.13773241e-06 7.57138415e-01 2.42809278e-01
1.88000000e+04 4.43810940e-05 3.68644373e-07 5.95855036e-06 7.57139910e-01 2.42809382e-01
1.89000000e+04 4.30314577e-05 3.60633871e-07 5.78578664e-06 7.57141340e-01 2.42809482e-01
1.90000000e+04 4.17403963e-05 3.52853279e-07 5.61916192e-06 7.57142709e-01 2.42809579e-01
1.91000000e+04 4.05048132e-05 3.45294325e-07 5.45841117e-06 7.57144020e-01 2.42809672e-01
1.92000000e+04 3.93218026e-05 3.37949091e-07 5.30328282e-06 7.57145275e-01 2.42809762e-01
1.93000000e+04 3.81886363e-05 3.30810001e-07 5.15353800e-06 7.57146478e-01 2.42809849e-01
1.94000000e+04 3.71027513e-05 3.23869800e-07 5.00894978e-06 7.57147631e-01 2.42809933e-01
1.95000000e+04 3.60617390e-05 3.17121540e-07 4.86930250e-06 7.57148738e-01 2.42810014e-01
1.96000000e+04 3.50633344e-05 3.10558564e-07 4.73439113e-06 7.57149799e-01 2.42810093e-01
1.97000000e+04 3.41054068e-05 3.04174493e-07 4.60402067e-06 7.57150818e-01 2.42810169e-01
1.98000000e+04 3.31859504e-05 2.97963211e-07 4.47800559e-06 7.57151796e-01 2.42810242e-01
ZONE T="Molar Fractions", I=194, F=POINT
5.00000000e+02 7.80794722e-01 2.19198690e-01 5.37597637e-10 0.00000000e+00 7.83255695e-159
6.00000000e+02 7.80794799e-01 2.19198675e-01 2.09340584e-08 0.00000000e+00 6.89610829e-108
7.00000000e+02 7.80794919e-01 2.19198597e-01 2.86455610e-07 2.53752334e-260 2.59392039e-72
8.00000000e+02 7.80794052e-01 2.19197725e-01 2.03889471e-06 4.06231532e-208 6.57073056e-46
9.00000000e+02 7.80790558e-01 2.19194100e-01 9.38619412e-06 4.40054590e-168 3.73251127e-26
1.00000000e+03 7.80779428e-01 2.19182898e-01 3.18500679e-05 7.12805256e-136 1.00159178e-11
1.10000000e+03 7.80752336e-01 2.19155660e-01 8.64380528e-05 9.45290445e-110 1.16129262e-09
1.20000000e+03 7.80696300e-01 2.19099501e-01 1.98839810e-04 5.61399695e-88 1.16598511e-08
1.30000000e+03 7.80594724e-01 2.18997752e-01 4.02375568e-04 1.10537000e-69 8.22797225e-08
1.40000000e+03 7.80427848e-01 2.18830688e-01 7.36160739e-04 5.33951545e-54 4.39957215e-07
1.50000000e+03 7.80174869e-01 2.18576907e-01 1.24230374e-03 6.33566984e-41 1.88369702e-06
1.60000000e+03 7.79813498e-01 2.18213831e-01 1.96298620e-03 1.36591299e-29 6.73104205e-06
1.70000000e+03 7.79322379e-01 2.17718341e-01 2.93775099e-03 5.35524402e-20 2.07193183e-05
1.80000000e+03 7.78677337e-01 2.17064994e-01 4.20135723e-03 3.29208533e-12 5.63120315e-05
1.90000000e+03 7.77855220e-01 2.16225018e-01 5.78197828e-03 1.72886919e-10 1.37782982e-04
2.00000000e+03 7.76829707e-01 2.15162141e-01 7.69990902e-03 7.88878470e-10 3.08242761e-04
2.10000000e+03 7.75567462e-01 2.13827516e-01 9.96656943e-03 3.11677230e-09 6.38449789e-04
2.20000000e+03 7.74025400e-01 2.12154295e-01 1.25834639e-02 1.08721751e-08 1.23683007e-03
2.30000000e+03 7.72147326e-01 2.10052036e-01 1.55409484e-02 3.40275345e-08 2.25965631e-03
2.40000000e+03 7.69861319e-01 2.07402175e-01 1.88166102e-02 9.68401083e-08 3.91979825e-03
2.50000000e+03 7.67078751e-01 2.04055932e-01 2.23731973e-02 2.53426825e-07 6.49186526e-03
2.60000000e+03 7.63695941e-01 1.99836256e-01 2.61562117e-02 6.15627095e-07 1.03109747e-02
2.70000000e+03 7.59599537e-01 1.94545615e-01 3.00915207e-02 1.39933284e-06 1.57619280e-02
2.80000000e+03 7.54676538e-01 1.87981251e-01 3.40836178e-02 2.99655652e-06 2.32555960e-02
2.90000000e+03 7.48829429e-01 1.79958890e-01 3.80154258e-02 6.08087818e-06 3.31901746e-02
3.00000000e+03 7.41995890e-01 1.70344383e-01 4.17506919e-02 1.17533552e-05 4.58972824e-02
3.10000000e+03 7.34171116e-01 1.59090467e-01 4.51399541e-02 2.17346795e-05 6.15767282e-02
3.20000000e+03 7.25428864e-01 1.46272790e-01 4.80306337e-02 3.86081879e-05 8.02291046e-02
3.30000000e+03 7.15935677e-01 1.32116402e-01 5.02809783e-02 6.61187279e-05 1.01600824e-01
3.40000000e+03 7.05952003e-01 1.17002579e-01 5.17764392e-02 1.09535567e-04 1.25159443e-01
3.50000000e+03 6.95815007e-01 1.01447071e-01 5.24458107e-02 1.76093898e-04 1.50116017e-01
3.60000000e+03 6.85901863e-01 8.60469733e-02 5.22736822e-02 2.75534681e-04 1.75501947e-01
3.70000000e+03 6.76578269e-01 7.14026637e-02 5.13057187e-02 4.20760388e-04 2.00292588e-01
3.80000000e+03 6.68142896e-01 5.80307384e-02 4.96440031e-02 6.28616274e-04 2.23553746e-01
3.90000000e+03 6.60783630e-01 4.62928074e-02 4.74327006e-02 9.20774420e-04 2.44570088e-01
4.00000000e+03 6.54558009e-01 3.63601583e-02 4.48367073e-02 1.32468112e-03 2.62920445e-01
4.10000000e+03 6.49402233e-01 2.82226514e-02 4.20188402e-02 1.87451343e-03 2.78481762e-01
4.20000000e+03 6.45161838e-01 2.17326059e-02 3.91213875e-02 2.61209741e-03 2.91372071e-01
4.30000000e+03 6.41630312e-01 1.66632308e-02 3.62555189e-02 3.58776505e-03 3.01863174e-01
4.40000000e+03 6.38583129e-01 1.27620908e-02 3.34989641e-02 4.86111720e-03 3.10294700e-01
4.50000000e+03 6.35800516e-01 9.78846551e-03 3.08995499e-02 6.50166276e-03 3.17009806e-01
4.60000000e+03 6.33078670e-01 7.53323680e-03 2.84815846e-02 8.58927370e-03 3.22317235e-01
4.70000000e+03 6.30232468e-01 5.82532932e-03 2.62525085e-02 1.12144420e-02 3.26475252e-01
4.80000000e+03 6.27093639e-01 4.53032950e-03 2.42089028e-02 1.44781250e-02 3.29689004e-01
4.90000000e+03 6.23507041e-01 3.54527247e-03 2.23408153e-02 1.84912577e-02 3.32115614e-01
5.00000000e+03 6.19327047e-01 2.79255371e-03 2.06349063e-02 2.33737193e-02 3.33871774e-01
5.10000000e+03 6.14414850e-01 2.21421956e-03 1.90764983e-02 2.92527093e-02 3.35041723e-01
5.20000000e+03 6.08637057e-01 1.76717998e-03 1.76508484e-02 3.62604478e-02 3.35684466e-01
5.30000000e+03 6.01865623e-01 1.41942701e-03 1.63438912e-02 4.45311402e-02 3.35839919e-01
5.40000000e+03 5.93979044e-01 1.14715050e-03 1.51426377e-02 5.41971789e-02 3.35533989e-01
5.50000000e+03 5.84864671e-01 9.32583644e-04 1.40353574e-02 6.53846044e-02 3.34782784e-01
5.60000000e+03 5.74421948e-01 7.62412955e-04 1.30116293e-02 7.82079038e-02 3.33596106e-01
5.70000000e+03 5.62566360e-01 6.26612206e-04 1.20623178e-02 9.27642922e-02 3.31980417e-01
5.80000000e+03 5.49233817e-01 5.17589177e-04 1.11795041e-02 1.09127717e-01 3.29941373e-01
5.90000000e+03 5.34385170e-01 4.29561359e-04 1.03563951e-02 1.27342880e-01 3.27485993e-01
6.00000000e+03 5.18010522e-01 3.58098173e-04 9.58722154e-03 1.47419656e-01 3.24624503e-01
6.10000000e+03 5.00971142e-01 3.02568961e-04 8.57704016e-03 1.68372142e-01 3.21777107e-01
6.20000000e+03 4.81758767e-01 2.54389847e-04 7.91535527e-03 1.91903292e-01 3.18168195e-01
6.30000000e+03 4.61202809e-01 2.14699942e-04 7.29534191e-03 2.17070034e-01 3.14217115e-01
6.40000000e+03 4.39434032e-01 1.81866167e-04 6.71421723e-03 2.43712273e-01 3.09957612e-01
