T,P,N2,O2,NO,N,O,N2+,O2+,N+,O+,NO+,e-
1442.600000,101325.000000,0.75674261,0.24229521,0.00096134,0.00000000,0.00000047,0.00000000,0.00000000,0.00000000,0.00000000,0.00000037,0.00000000
1452.450000,101325.000000,0.75671866,0.24226775,0.00101271,0.00000000,0.00000054,0.00000000,0.00000000,0.00000000,0.00000000,0.00000034,0.00000000
1462.300000,101325.000000,0.75669378,0.24223924,0.00106606,0.00000000,0.00000061,0.00000000,0.00000000,0.00000000,0.00000000,0.00000030,0.00000000
1472.150000,101325.000000,0.75666854,0.24221038,0.00111996,0.00000000,0.00000070,0.00000000,0.00000000,0.00000000,0.00000000,0.00000041,0.00000000
1482.000000,101325.000000,0.75664181,0.24217973,0.00117728,0.00000000,0.00000081,0.00000000,0.00000000,0.00000000,0.00000000,0.00000038,0.00000000
1491.850000,101325.000000,0.75661405,0.24214789,0.00123679,0.00000000,0.00000093,0.00000000,0.00000000,0.00000000,0.00000000,0.00000035,0.00000000
1501.700000,101325.000000,0.75658529,0.24211489,0.00129844,0.00000000,0.00000106,0.00000000,0.00000000,0.00000000,0.00000000,0.00000031,0.00000000
1511.550000,101325.000000,0.75655551,0.24208071,0.00136228,0.00000000,0.00000121,0.00000000,0.00000000,0.00000000,0.00000000,0.00000028,0.00000000
1521.400000,101325.000000,0.75652470,0.24204532,0.00142835,0.00000000,0.00000138,0.00000000,0.00000000,0.00000000,0.00000000,0.00000025,0.00000000
1531.250000,101325.000000,0.75649282,0.24200871,0.00149667,0.00000000,0.00000158,0.00000000,0.00000000,0.00000000,0.00000000,0.00000022,0.00000000
1541.100000,101325.000000,0.75645988,0.24197085,0.00156728,0.00000000,0.00000179,0.00000000,0.00000000,0.00000000,0.00000000,0.00000019,0.00000000
1550.950000,101325.000000,0.75642658,0.24193264,0.00163846,0.00000000,0.00000203,0.00000000,0.00000000,0.00000000,0.00000000,0.00000030,0.00000000
1560.800000,101325.000000,0.75639146,0.24189224,0.00171374,0.00000000,0.00000230,0.00000000,0.00000000,0.00000000,0.00000000,0.00000027,0.00000000
1570.650000,101325.000000,0.75635517,0.24185048,0.00179151,0.00000000,0.00000260,0.00000000,0.00000000,0.00000000,0.00000000,0.00000024,0.00000000
1580.500000,101325.000000,0.75631774,0.24180738,0.00187173,0.00000000,0.00000294,0.00000000,0.00000000,0.00000000,0.00000000,0.00000021,0.00000000
1590.350000,101325.000000,0.75627915,0.24176291,0.00195445,0.00000000,0.00000331,0.00000000,0.00000000,0.00000000,0.00000000,0.00000018,0.00000000
1600.200000,101325.000000,0.75623938,0.24171705,0.00203969,0.00000000,0.00000373,0.00000000,0.00000000,0.00000000,0.00000000,0.00000016,0.00000000
1610.050000,101325.000000,0.75619841,0.24166978,0.00212748,0.00000000,0.00000420,0.00000000,0.00000000,0.00000000,0.00000000,0.00000013,0.00000000
1619.900000,101325.000000,0.75615707,0.24162211,0.00221589,0.00000000,0.00000470,0.00000000,0.00000000,0.00000000,0.00000000,0.00000024,0.00000000
1629.750000,101325.000000,0.75611365,0.24157194,0.00230893,0.00000000,0.00000527,0.00000000,0.00000000,0.00000000,0.00000000,0.00000021,0.00000000
1639.600000,101325.000000,0.75606896,0.24152025,0.00240470,0.00000000,0.00000590,0.00000000,0.00000000,0.00000000,0.00000000,0.00000018,0.00000000
1649.450000,101325.000000,0.75602301,0.24146705,0.00250318,0.00000000,0.00000660,0.00000000,0.00000000,0.00000000,0.00000000,0.00000016,0.00000000
1659.300000,101325.000000,0.75597578,0.24141233,0.00260439,0.00000000,0.00000737,0.00000000,0.00000000,0.00000000,0.00000000,0.00000013,0.00000000
1669.150000,101325.000000,0.75592726,0.24135605,0.00270836,0.00000000,0.00000822,0.00000000,0.00000000,0.00000000,0.00000000,0.00000011,0.00000000
1679.000000,101325.000000,0.75587745,0.24129820,0.00281510,0.00000000,0.00000916,0.00000000,0.00000000,0.00000000,0.00000000,0.00000009,0.00000000
1688.850000,101325.000000,0.75582718,0.24123984,0.00292262,0.00000000,0.00001017,0.00000000,0.00000000,0.00000000,0.00000000,0.00000019,0.00000000
1698.700000,101325.000000,0.75577465,0.24117870,0.00303518,0.00000000,0.00001130,0.00000000,0.00000000,0.00000000,0.00000000,0.00000016,0.00000000
1708.550000,101325.000000,0.75572076,0.24111589,0.00315067,0.00000000,0.00001254,0.00000000,0.00000000,0.00000000,0.00000000,0.00000014,0.00000000
1718.400000,101325.000000,0.75566549,0.24105140,0.00326909,0.00000000,0.00001391,0.00000000,0.00000000,0.00000000,0.00000000,0.00000012,0.00000000
1728.250000,101325.000000,0.75560886,0.24098521,0.00339044,0.00000000,0.00001540,0.00000000,0.00000000,0.00000000,0.00000000,0.00000010,0.00000000
1738.100000,101325.000000,0.75555084,0.24091730,0.00351475,0.00000000,0.00001702,0.00000000,0.00000000,0.00000000,0.00000000,0.00000008,0.00000000
