TITLE = "Equilibrium TP Sweep: AIR5"
VARIABLES = "T [K]", "P [Pa]", "Y(N2)", "Y(O2)", "Y(NO)", "Y(N)", "Y(O)"
ZONE T="TP_Sweep", I=2000, F=BLOCK
7.55877192e-01 7.55889182e-01 7.55901041e-01 7.55912773e-01 7.55924378e-01 
7.55935857e-01 7.55947214e-01 7.55958448e-01 7.55969561e-01 7.55980556e-01 
7.55991432e-01 7.56002193e-01 7.56012839e-01 7.56023371e-01 7.56033792e-01 
7.56044101e-01 7.56054302e-01 7.56064394e-01 7.56074380e-01 7.56084260e-01 
7.56094036e-01 7.56103709e-01 7.56113280e-01 7.56122751e-01 7.56132123e-01 
7.56141397e-01 7.56150573e-01 7.56159654e-01 7.56168640e-01 7.56177533e-01 
7.56186334e-01 7.56195043e-01 7.56203662e-01 7.56212191e-01 7.56220633e-01 
7.56228988e-01 7.56237256e-01 7.56245440e-01 7.56253539e-01 7.56261556e-01 
7.56269490e-01 7.56277343e-01 7.56285116e-01 7.56292810e-01 7.56300425e-01 
7.56307963e-01 7.56315425e-01 7.56322811e-01 7.56330122e-01 7.56337359e-01 
7.56344524e-01 7.56351616e-01 7.56358636e-01 7.56365587e-01 7.56372467e-01 
7.56379278e-01 7.56386022e-01 7.56392698e-01 7.56399307e-01 7.56405851e-01 
7.56412329e-01 7.56418743e-01 7.56425094e-01 7.56431381e-01 7.56437607e-01 
7.56443771e-01 7.56449874e-01 7.56455917e-01 7.56461901e-01 7.56467826e-01 
7.56473693e-01 7.56479502e-01 7.56485255e-01 7.56490951e-01 7.56496592e-01 
7.56502178e-01 7.56507710e-01 7.56513188e-01 7.56518613e-01 7.56523985e-01 
7.56529305e-01 7.56534574e-01 7.56539793e-01 7.56544961e-01 7.56550079e-01 
7.56555149e-01 7.56560169e-01 7.56565142e-01 7.56570067e-01 7.56574946e-01 
7.56579777e-01 7.56584563e-01 7.56589303e-01 7.56593998e-01 7.56598649e-01 
7.56603256e-01 7.56607819e-01 7.56612340e-01 7.56616817e-01 7.56621253e-01 
7.56625646e-01 7.56629999e-01 7.56634311e-01 7.56638582e-01 7.56642814e-01 
7.56647006e-01 7.56651159e-01 7.56655274e-01 7.56659350e-01 7.56663388e-01 
7.56667389e-01 7.56671353e-01 7.56675280e-01 7.56679172e-01 7.56683027e-01 
7.56686847e-01 7.56690631e-01 7.56694381e-01 7.56698097e-01 7.56701779e-01 
7.56705427e-01 7.56709042e-01 7.56712623e-01 7.56716173e-01 7.56719690e-01 
7.56723175e-01 7.56726628e-01 7.56730051e-01 7.56733442e-01 7.56736803e-01 
7.56740133e-01 7.56743434e-01 7.56746705e-01 7.56749946e-01 7.56753159e-01 
7.56756343e-01 7.56759498e-01 7.56762625e-01 7.56765724e-01 7.56768796e-01 
7.56771841e-01 7.56774858e-01 7.56777849e-01 7.56780813e-01 7.56783751e-01 
7.56786663e-01 7.56789550e-01 7.56792411e-01 7.56795247e-01 7.56798058e-01 
7.56800844e-01 7.56803606e-01 7.56806344e-01 7.56809058e-01 7.56811748e-01 
7.56814415e-01 7.56817059e-01 7.56819680e-01 7.56822278e-01 7.56824854e-01 
7.56827407e-01 7.56829938e-01 7.56832448e-01 7.56834936e-01 7.56837402e-01 
7.56839847e-01 7.56842272e-01 7.56844675e-01 7.56847058e-01 7.56849421e-01 
7.56851764e-01 7.56854086e-01 7.56856389e-01 7.56858672e-01 7.56860936e-01 
7.56863181e-01 7.56865407e-01 7.56867614e-01 7.56869802e-01 7.56871972e-01 
7.56874124e-01 7.56876257e-01 7.56878373e-01 7.56880471e-01 7.56882551e-01 
7.56884614e-01 7.56886660e-01 7.56888689e-01 7.56890701e-01 7.56892696e-01 
7.56894675e-01 7.56896637e-01 7.56898583e-01 7.56900513e-01 7.56902427e-01 
7.56904325e-01 7.56906207e-01 7.56908075e-01 7.56909926e-01 7.56911763e-01 
7.56913584e-01 7.56915391e-01 7.56917183e-01 7.56918960e-01 7.56920723e-01 
7.56922471e-01 7.56924206e-01 7.56925926e-01 7.56927632e-01 7.56929324e-01 
7.56931003e-01 7.56932668e-01 7.56934320e-01 7.56935959e-01 7.56937584e-01 
7.56939196e-01 7.56940795e-01 7.56942382e-01 7.56943956e-01 7.56945517e-01 
